PARK,ATTENDANCE,year,Region
Blue Spring,374226,2005,CentralEast
Myakka River,307067,2005,CentralWest
Homosassa Springs,297134,2005,CentralWest
Oleta River,269712,2005,SouthEast
Fort Zachary Taylor,252798,2005,SouthEast
Caladesi Island,250549,2005,CentralWest
Wekiwa Springs,242441,2005,Central
De Leon Springs,235626,2005,CentralEast
Skyway State Fishing Pier,235623,2005,CentralWest
Rainbow Springs,222081,2005,Central
Henderson Beach,220418,2005,NorthWest
Fanning Springs,218450,2005,NorthCentral
Amelia Island,217440,2005,NorthEast
Silver Springs State Park,209842,2005,Central
Highlands Hammock,208201,2005,Central
Crystal River Preserve,202359,2005,CentralWest
Fort Clinch,196176,2005,NorthEast
Fort Pierce Inlet,192402,2005,CentralEast
Hugh Taylor Birch,179621,2005,SouthEast
Wakulla Springs State Park,175210,2005,NorthCentral
Egmont Key,168528,2005,CentralWest
Ichetucknee Springs,167629,2005,NorthCentral
Avalon,165015,2005,CentralEast
Hillsborough River,157648,2005,CentralWest
Paynes Prairie,155454,2005,NorthCentral
Big Talbot Island,153445,2005,NorthEast
Anclote Key,151377,2005,CentralWest
Alfred B. Maclay Gardens,147278,2005,NorthCentral
Jonathan Dickinson,144519,2005,SouthEast
Topsail Hill State Preserve,143730,2005,NorthWest
Ravine Gardens,139504,2005,NorthEast
St. Joseph,138929,2005,NorthWest
Fakahatchee Strand,137238,2005,SouthWest
Manatee Springs,127338,2005,NorthCentral
Flagler Beach,125729,2005,NorthEast
Little Talbot Island,113088,2005,NorthEast
Big Lagoon,108705,2005,NorthWest
Grayton Beach,105871,2005,NorthWest
Oscar Scherer,105850,2005,CentralWest
Florida Caverns,94307,2005,NorthWest
Tomoka,92908,2005,CentralEast
John D MacArthur Beach,90685,2005,SouthEast
Lake Louisa,87651,2005,Central
Shell Island,81969,2005,NorthEast
North Peninsula,81774,2005,CentralEast
St. George Island,80324,2005,NorthWest
Stephen Foster,78825,2005,NorthCentral
Rocky Bayou,77780,2005,NorthWest
Collier-Seminole,72178,2005,SouthWest
Washington Oaks,67059,2005,NorthEast
Gamble Plantation,66933,2005,CentralWest
Gold Head Branch,66158,2005,NorthEast
Bulow Creek,64110,2005,CentralEast
Blackwater River,64074,2005,NorthWest
St. Sebastian River,63317,2005,CentralEast
Long Key,62160,2005,SouthEast
Fort George Island,60499,2005,NorthEast
Koreshan,60324,2005,SouthWest
O'Leno,57624,2005,NorthCentral
Eden State Gardens,52645,2005,NorthWest
Lake Jackson Mounds,51799,2005,NorthCentral
Lake Kissimmee,51623,2005,Central
San Felasco Hammock,48973,2005,NorthCentral
Don Pedro Island,48050,2005,SouthWest
Curry Hammock,46992,2005,SouthEast
Cayo Costa,46892,2005,SouthWest
Lake Manatee,45983,2005,CentralWest
Alafia River,45652,2005,CentralWest
Ponce de Leon,40065,2005,NorthWest
Bald Point,39572,2005,NorthWest
Devil's Millhopper,39126,2005,NorthCentral
Jack Island,36595,2005,CentralEast
Faver-Dykes,35085,2005,NorthEast
Suwannee River,35025,2005,NorthCentral
Falling Waters,34313,2005,NorthWest
Olustee Battlefield,34181,2005,NorthCentral
Hontoon Island,33968,2005,Central
Werner-Boyce,33801,2005,CentralWest
Paynes Creek,32312,2005,Central
Yulee Sugar Mills,31110,2005,CentralWest
Ochlockonee River,31095,2005,NorthCentral
Lake Griffin,29577,2005,Central
